Rank,Name,Revenue,Price,Today,Country
1,VolkswagenVOW3.DE,₹351.70 B,"₹9,134",3.89%,🇩🇪 Germany
2,ToyotaTM,₹314.60 B,"₹15,014",2.99%,🇯🇵 Japan
3,General MotorsGM,₹188.44 B,"₹4,244",1.06%,🇺🇸 USA
4,FordF,₹182.87 B,₹922.65,1.60%,🇺🇸 USA
5,Mercedes-BenzMBG.DE,₹153.85 B,"₹5,049",4.85%,🇩🇪 Germany
6,BMWBMW.DE,₹150.16 B,"₹7,684",5.32%,🇩🇪 Germany
7,HondaHMC,₹142.10 B,"₹2,537",3.09%,🇯🇵 Japan
8,HyundaiHYMTF,₹127.19 B,"₹4,690",0.56%,🇰🇷 S. Korea
9,BYD002594.SZ,₹114.04 B,"₹3,982",0.95%,🇨🇳 China
10,StellantisSTLA,₹101.26 B,₹870.54,2.62%,🇳🇱 Netherlands
11,TeslaTSLA,₹95.72 B,"₹27,648",1.48%,🇺🇸 USA
12,"SAIC Motor
600104.SS",₹86.68 B,₹191.07,0.06%,🇨🇳 China
13,Nissan7201.T,₹86.50 B,₹207.59,3.11%,🇯🇵 Japan
14,Kia000270.KS,₹77.66 B,"₹6,121",1.41%,🇰🇷 S. Korea
15,RenaultRNO.PA,₹58.51 B,"₹4,009",2.74%,🇫🇷 France
16,Tata MotorsTATAMOTORS.NS,₹51.17 B,₹686.90,0.61%,🇮🇳 India
17,PorscheP911.DE,₹42.92 B,"₹4,269",7.61%,🇩🇪 Germany
18,XiaomiXIACF,₹41.79 B,₹657.82,2.53%,🇨🇳 China
19,Volvo CarVOLCAR-B.ST,₹37.17 B,₹161.13,7.37%,🇸🇪 Sweden
20,Suzuki Motor7269.T,₹36.62 B,"₹1,034",1.42%,🇯🇵 Japan
21,Mazda7261.T,₹32.94 B,₹527.62,4.82%,🇯🇵 Japan
22,Geely0175.HK,₹32.91 B,₹173.92,0.00%,🇨🇳 China
23,Subaru7270.T,₹32.13 B,"₹1,521",3.91%,🇯🇵 Japan
24,Great Wall Motors601633.SS,₹24.11 B,₹254.09,0.00%,🇨🇳 China
25,Isuzu7202.T,₹23.13 B,"₹1,074",1.25%,🇯🇵 Japan
26,Chongqing Changan000625.SZ,₹21.73 B,₹151.29,0.39%,🇨🇳 China
27,Li AutoLI,₹20.10 B,"₹2,347",1.93%,🇨🇳 China
28,Seres Group 601127.SS,₹19.14 B,"₹1,581",1.90%,🇨🇳 China
29,Mitsubishi Motors7211.T,₹19.04 B,₹242.24,3.32%,🇯🇵 Japan
30,Mahindra & MahindraM&M.NS,₹18.59 B,"₹3,203",0.39%,🇮🇳 India
31,"Ford Otosan
FROTO.IS",₹17.03 B,₹180.28,0.47%,🇹🇷 Turkey
32,"Maruti Suzuki India
MARUTI.NS",₹16.99 B,"₹12,642",0.57%,🇮🇳 India
33,GAC (Guangzhou Automobile Group)601238.SS,₹14.72 B,₹89.10,0.00%,🇨🇳 China
34,"Dongfeng Motor
0489.HK",₹14.55 B,₹38.09,0.00%,🇨🇳 China
35,ZeekrZK,₹11.52 B,"₹2,236",0.91%,🇨🇳 China
36,NIONIO,₹9.42 B,₹295.59,1.17%,🇨🇳 China
37,"Hotai Motor
2207.TW",₹7.93 B,"₹1,682",1.06%,🇹🇼 Taiwan
38,FAW Car000800.SZ,₹7.46 B,₹81.48,0.59%,🇨🇳 China
39,FerrariRACE,₹7.41 B,"₹41,955",2.84%,🇮🇹 Italy
40,PolarisPII,₹6.97 B,"₹3,498",2.04%,🇺🇸 USA
41,XPengXPEV,₹6.94 B,"₹1,549",1.00%,🇨🇳 China
42,JAC Motors600418.SS,₹5.65 B,₹475.90,2.49%,🇨🇳 China
43,RivianRIVN,₹5.00 B,"₹1,162",2.23%,🇺🇸 USA
44,Leapmotor9863.HK,₹4.40 B,₹607.86,0.53%,🇨🇳 China
45,Tofaş Türk Otomobil FabrikasıTOASO.IS,₹3.19 B,₹395.90,0.91%,🇹🇷 Turkey
46,KG Mobility (SsangYong Motor)003620.KS,₹2.71 B,₹220.54,2.63%,🇰🇷 S. Korea
47,Yulon Motor Company2201.TW,₹2.54 B,₹101.29,1.47%,🇹🇼 Taiwan
48,VinFast AutoVFS,₹2.12 B,₹306.70,1.99%,🇻🇳 Vietnam
49,PolestarPSNY,₹2.06 B,₹94.83,0.91%,🇸🇪 Sweden
50,"Aston Martin
AML.L",₹1.54 B,₹95.45,0.18%,🇬🇧 UK
51,Force MotorsFORCEMOT.NS,₹0.94 B,"₹14,500",2.74%,🇮🇳 India
52,Lotus TechnologyLOT,₹0.92 B,₹187.09,6.81%,🇨🇳 China
53,Lucid MotorsLCID,₹0.87 B,₹181.11,3.64%,🇺🇸 USA
54,Kandi Technologies GroupKNDI,₹0.13 B,₹99.10,1.75%,🇨🇳 China
55,Phoenix MotorPEV,₹31.15 M,₹19.65,0.00%,🇺🇸 USA
56,Cenntro Electric GroupCENN,₹30.04 M,₹60.74,6.84%,🇺🇸 USA
57,Mullen AutomotiveMULN,₹8.93 M,₹50.83,21.71%,🇺🇸 USA
58,ArcimotoFUV,₹6.6 M,₹32.46,5.94%,🇺🇸 USA
59,CanooGOEV,₹1.86 M,₹31.61,0.00%,🇺🇸 USA
60,Faraday FutureFFAI,₹0.85 M,₹125.58,4.55%,🇺🇸 USA
61,REE AutomotiveREE,₹0.18 M,₹53.56,13.77%,🇮🇱 Israel
62,NWTN Inc.NWTN,N/A,₹129.00,16.11%,🇦🇪 UAE
